emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,count
1.1,93.994,-36.4,4.857,5191.0,2868
1.4,93.918,-42.7,4.962,5228.1,2024
1.4,93.918,-42.7,4.963,5228.1,1328
1.1,93.994,-36.4,4.856,5191.0,1210
1.4,93.444,-36.1,4.964,5228.1,1175
-1.8,93.075,-47.1,1.405,5099.1,1169
1.4,93.444,-36.1,4.963,5228.1,1159
1.4,93.444,-36.1,4.965,5228.1,1071
1.4,93.918,-42.7,4.961,5228.1,987
1.4,94.465,-41.8,4.961,5228.1,915
1.1,93.994,-36.4,4.86,5191.0,885
1.1,93.994,-36.4,4.855,5191.0,840
-0.1,93.2,-42.0,4.076,5195.8,822
1.4,94.465,-41.8,4.959,5228.1,806
1.1,93.994,-36.4,4.859,5191.0,788
-0.1,93.2,-42.0,4.12,5195.8,756
1.4,93.918,-42.7,4.96,5228.1,746
1.1,93.994,-36.4,4.858,5191.0,733
-1.8,92.893,-46.2,1.266,5099.1,725
-0.1,93.2,-42.0,4.153,5195.8,690
-0.1,93.2,-42.0,4.021,5195.8,676
-1.8,92.893,-46.2,1.281,5099.1,616
-0.1,93.2,-42.0,4.191,5195.8,610
1.4,94.465,-41.8,4.864,5228.1,605
-1.8,92.893,-46.2,1.25,5099.1,587
1.4,93.444,-36.1,4.966,5228.1,552
-1.8,92.893,-46.2,1.291,5099.1,544
-1.8,92.893,-46.2,1.327,5099.1,538
1.4,93.918,-42.7,4.957,5228.1,537
-1.8,92.893,-46.2,1.299,5099.1,520
-1.8,92.893,-46.2,1.313,5099.1,492
1.4,93.444,-36.1,4.968,5228.1,491
1.4,93.918,-42.7,4.968,5228.1,490
-1.8,92.893,-46.2,1.334,5099.1,482
1.1,93.994,-36.4,4.864,5191.0,439
-1.8,92.893,-46.2,1.244,5099.1,413
-1.8,92.893,-46.2,1.344,5099.1,395
1.4,94.465,-41.8,4.967,5228.1,391
1.4,94.465,-41.8,4.865,5228.1,373
1.4,94.465,-41.8,4.866,5228.1,340
1.4,93.918,-42.7,4.958,5228.1,332
1.4,93.444,-36.1,4.962,5228.1,303
-1.8,93.075,-47.1,1.365,5099.1,303
1.4,94.465,-41.8,4.962,5228.1,286
1.4,94.465,-41.8,4.96,5228.1,267
-1.8,93.075,-47.1,1.41,5099.1,254
1.4,93.444,-36.1,4.967,5228.1,252
-2.9,92.963,-40.8,1.26,5076.2,252
1.4,94.465,-41.8,4.958,5228.1,249
-1.8,92.893,-46.2,1.354,5099.1,215
1.4,93.444,-36.1,4.97,5228.1,172
-2.9,92.963,-40.8,1.262,5076.2,145
-3.4,92.649,-30.1,0.714,5017.5,126
-2.9,92.201,-31.4,0.883,5076.2,110
-1.8,92.893,-46.2,1.27,5099.1,110
-1.8,93.075,-47.1,1.445,5099.1,103
-1.1,94.199,-37.5,0.879,4963.6,103
1.4,94.465,-41.8,4.947,5228.1,98
-1.8,93.075,-47.1,1.415,5099.1,98
-2.9,92.963,-40.8,1.266,5076.2,95
-2.9,92.963,-40.8,1.268,5076.2,95
-2.9,92.201,-31.4,0.884,5076.2,93
1.4,93.918,-42.7,4.959,5228.1,89
-1.8,93.075,-47.1,1.423,5099.1,87
-1.8,92.893,-46.2,1.264,5099.1,87
-3.4,92.649,-30.1,0.715,5017.5,86
-2.9,92.201,-31.4,0.873,5076.2,82
-1.8,93.075,-47.1,1.435,5099.1,81
-1.8,93.075,-47.1,1.453,5099.1,81
-2.9,92.201,-31.4,0.879,5076.2,77
-1.8,92.893,-46.2,1.259,5099.1,70
1.4,93.918,-42.7,4.966,5228.1,70
-3.4,92.431,-26.9,0.739,5017.5,65
-1.8,93.075,-47.1,1.479,5099.1,62
-1.7,94.027,-38.3,0.904,4991.6,60
-2.9,92.201,-31.4,0.881,5076.2,59
1.4,93.918,-42.7,4.955,5228.1,59
-1.8,93.075,-47.1,1.466,5099.1,57
-3.4,92.649,-30.1,0.716,5017.5,54
-2.9,92.201,-31.4,0.869,5076.2,54
-3.4,92.431,-26.9,0.742,5017.5,51
-1.8,93.075,-47.1,1.483,5099.1,50
-2.9,92.201,-31.4,0.861,5076.2,46
-3.4,92.431,-26.9,0.74,5017.5,45
1.4,94.465,-41.8,4.955,5228.1,44
-3.4,92.431,-26.9,0.722,5017.5,40
-1.8,93.876,-40.0,0.682,5008.7,39
-1.7,94.027,-38.3,0.898,4991.6,39
-1.8,93.369,-34.8,0.646,5008.7,37
-3.0,92.713,-33.0,0.715,5023.5,37
-1.1,94.199,-37.5,0.886,4963.6,36
-3.4,92.431,-26.9,0.728,5017.5,35
-1.8,93.075,-47.1,1.498,5099.1,35
-1.8,93.369,-34.8,0.652,5008.7,35
-1.8,93.749,-34.6,0.642,5008.7,35
-2.9,92.201,-31.4,0.859,5076.2,35
-2.9,92.201,-31.4,0.849,5076.2,35
-3.4,92.649,-30.1,0.722,5017.5,34
-1.8,93.369,-34.8,0.655,5008.7,34
-2.9,92.469,-33.6,1.072,5076.2,34
-1.1,94.199,-37.5,0.878,4963.6,33
-2.9,92.469,-33.6,1.029,5076.2,33
-1.8,93.749,-34.6,0.644,5008.7,32
-1.8,93.369,-34.8,0.635,5008.7,32
-1.7,94.027,-38.3,0.899,4991.6,32
-1.8,92.843,-50.0,1.811,5099.1,31
-2.9,92.469,-33.6,1.044,5076.2,31
-3.4,92.379,-29.8,0.803,5017.5,31
-2.9,92.201,-31.4,0.854,5076.2,30
-2.9,92.201,-31.4,0.838,5076.2,29
-1.8,92.843,-50.0,1.531,5099.1,29
-1.7,94.215,-40.3,0.896,4991.6,28
-1.8,93.876,-40.0,0.699,5008.7,28
-2.9,92.201,-31.4,0.851,5076.2,27
-1.7,94.027,-38.3,0.9,4991.6,27
-3.4,92.649,-30.1,0.719,5017.5,27
-2.9,92.201,-31.4,0.825,5076.2,27
-1.8,93.749,-34.6,0.645,5008.7,26
-2.9,92.963,-40.8,1.252,5076.2,26
-3.4,92.379,-29.8,0.797,5017.5,26
-1.8,93.075,-47.1,1.406,5099.1,25
-3.4,92.431,-26.9,0.754,5017.5,25
-1.1,94.199,-37.5,0.882,4963.6,25
-1.7,94.055,-39.8,0.72,4991.6,24
-3.4,92.431,-26.9,0.73,5017.5,24
-1.7,94.215,-40.3,0.827,4991.6,24
-2.9,92.201,-31.4,0.821,5076.2,24
-1.8,93.876,-40.0,0.697,5008.7,23
-3.4,92.431,-26.9,0.724,5017.5,23
-2.9,92.469,-33.6,1.059,5076.2,23
1.4,93.918,-42.7,4.956,5228.1,23
-1.8,92.843,-50.0,1.687,5099.1,22
-3.4,92.379,-29.8,0.819,5017.5,22
-1.7,94.055,-39.8,0.761,4991.6,22
-1.7,94.055,-39.8,0.702,4991.6,22
-3.4,92.379,-29.8,0.773,5017.5,22
-3.4,92.649,-30.1,0.72,5017.5,22
-3.4,92.431,-26.9,0.72,5017.5,21
-3.0,92.713,-33.0,0.707,5023.5,21
-1.8,93.075,-47.1,1.392,5099.1,21
-3.4,92.431,-26.9,0.735,5017.5,21
-3.4,92.379,-29.8,0.809,5017.5,21
-1.7,94.215,-40.3,0.846,4991.6,21
-3.4,92.379,-29.8,0.781,5017.5,21
-2.9,92.963,-40.8,1.281,5076.2,21
-1.1,94.601,-49.5,0.977,4963.6,21
-1.1,94.767,-50.8,1.05,4963.6,21
